TABELA CEST 2018;;;;;;;;;;;;;
BUSCA AUTOMÁTICA:;;;;;;;;;;;;;
NCM;DESCRIÇÃO;Início de vigência;CEST;SEGMENTO;;;;;;;;;
7325;7325 - Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00;01/07/2017;102100;Autopeças;;;;;;;;;
780600;780600 - Peso de chumbo para balanceamento de roda;01/07/2017;102200;Autopeças;;;;;;;;;
80070090;80070090 - Peso para balanceamento de roda e outros utensílios de estanho;01/07/2017;102300;Autopeças;;;;;;;;;
830120;830120 - Fechaduras e partes de fechaduras;01/07/2017;102400;Autopeças;;;;;;;;;
830160;830160 - Fechaduras e partes de fechaduras;01/07/2017;102400;Autopeças;;;;;;;;;
830170;830170 - Chaves apresentadas isoladamente;01/07/2017;102500;Autopeças;;;;;;;;;
83021000;83021000 - Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;01/07/2017;102600;Autopeças;;;;;;;;;
83023000;83023000 - Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns;01/07/2017;102600;Autopeças;;;;;;;;;
831000;831000 - Triângulo de segurança;01/07/2017;102700;Autopeças;;;;;;;;;
84073;84073 - Motores de pistão alternativo dos tipos utilizados para propulsão de veículos do Capítulo 87;01/07/2017;102800;Autopeças;;;;;;;;;
840820;840820 - Motores dos tipos utilizados para propulsão de veículos automotores;01/07/2017;102900;Autopeças;;;;;;;;;
84099;84099 - Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408;01/07/2017;103000;Autopeças;;;;;;;;;
84122;84122 - Motores hidráulicos;01/07/2017;103100;Autopeças;;;;;;;;;
841330;841330 - Bombas para combustíveis, lubrificantes ou líquidos de arrefecimento, próprias para motores de ignição por centelha ou por compressão;01/07/2017;103200;Autopeças;;;;;;;;;
84141000;84141000 - Bombas de vácuo;01/07/2017;103300;Autopeças;;;;;;;;;
8414801;8414801 - Compressores e turbocompressores de ar;01/07/2017;103400;Autopeças;;;;;;;;;
8414802;8414802 - Compressores e turbocompressores de ar;01/07/2017;103400;Autopeças;;;;;;;;;
8414909;8414909 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;103500;Autopeças;;;;;;;;;
84139190;84139190 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;103500;Autopeças;;;;;;;;;
84149010;84149010 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;103500;Autopeças;;;;;;;;;
8414903;8414903 - Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00;01/07/2017;103500;Autopeças;;;;;;;;;
841520;841520 - Máquinas e aparelhos de ar condicionado;01/07/2017;103600;Autopeças;;;;;;;;;
84212300;84212300 - Aparelhos para filtrar óleos minerais nos motores de ignição por centelha ou por compressão;01/07/2017;103700;Autopeças;;;;;;;;;
84212990;84212990 - Filtros a vácuo;01/07/2017;103800;Autopeças;;;;;;;;;
84219;84219 - Partes dos aparelhos para filtrar ou depurar líquidos ou gases;01/07/2017;103900;Autopeças;;;;;;;;;
84241000;84241000 - Extintores, mesmo carregados;01/07/2017;104000;Autopeças;;;;;;;;;
84213100;84213100 - Filtros de entrada de ar para motores de ignição por centelha ou por compressão;01/07/2017;104100;Autopeças;;;;;;;;;
84213920;84213920 - Depuradores por conversão catalítica de gases de escape;01/07/2017;104200;Autopeças;;;;;;;;;
84254200;84254200 - Macacos;01/07/2017;104300;Autopeças;;;;;;;;;
84311010;84311010 - Partes para macacos do CEST 01.043.00;01/07/2017;104400;Autopeças;;;;;;;;;
8431492;8431492 - Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;01/07/2017;104500;Autopeças;;;;;;;;;
84339090;84339090 - Partes reconhecíveis como exclusiva ou principalmente destinadas às máquinas agrícolas ou rodoviárias;01/07/2017;104501;Autopeças;;;;;;;;;
84811000;84811000 - Válvulas redutoras de pressão;01/07/2017;104600;Autopeças;;;;;;;;;
84812;84812 - Válvulas para transmissão óleo-hidráulicas ou pneumáticas;01/07/2017;104700;Autopeças;;;;;;;;;
84818092;84818092 - Válvulas solenoides;01/07/2017;104800;Autopeças;;;;;;;;;
8482;8482 - Rolamentos;01/07/2017;104900;Autopeças;;;;;;;;;
8483;"8483 - Árvores de transmissão (incluídas as árvores de ìcamesî e virabrequins) e manivelas; mancais e ìbronzesî; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação";01/07/2017;105000;Autopeças;;;;;;;;;
8484;"8484 - Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)";01/07/2017;105100;Autopeças;;;;;;;;;
850520;850520 - Acoplamentos, embreagens, variadores de velocidade e freios, eletromagnéticos;01/07/2017;105200;Autopeças;;;;;;;;;
850710;850710 - Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão, exceto os classificados no CEST 01.053.01;01/07/2017;105300;Autopeças;;;;;;;;;
85071010;85071010 - Acumuladores elétricos de chumbo, do tipo utilizado para o arranque dos motores de pistão e de capacidade inferior ou igual a 20 Ah e tensão inferior ou igual a 12 V;01/07/2017;105301;Autopeças;;;;;;;;;
8511;"8511 - Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores";01/07/2017;105400;Autopeças;;;;;;;;;
851240;851240 - Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;01/07/2017;105500;Autopeças;;;;;;;;;
851220;851220 - Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;01/07/2017;105500;Autopeças;;;;;;;;;
85129000;85129000 - Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes;01/07/2017;105500;Autopeças;;;;;;;;;
85171213;85171213 - Telefones móveis do tipo dos utilizados em veículos automóveis.;01/07/2017;105600;Autopeças;;;;;;;;;
8518;8518 - Alto-falantes, amplificadores elétricos de audiofrequência e partes;01/07/2017;105700;Autopeças;;;;;;;;;
85185000;85185000 - Aparelhos elétricos de amplificação de som para veículos automotores;01/07/2017;105800;Autopeças;;;;;;;;;
851981;851981 - Aparelhos de reprodução de som;01/07/2017;105900;Autopeças;;;;;;;;;
8525501;8525501 - Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);01/07/2017;106000;Autopeças;;;;;;;;;
85256010;85256010 - Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor);01/07/2017;106000;Autopeças;;;;;;;;;
85272100;85272100 - Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis;01/07/2017;106100;Autopeças;;;;;;;;;
85272900;85272900 - Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis;01/07/2017;106200;Autopeças;;;;;;;;;
85219090;85219090 - Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores;01/07/2017;106201;Autopeças;;;;;;;;;
85291090;85291090 - Antenas;01/07/2017;106300;Autopeças;;;;;;;;;
853400;853400 - Circuitos impressos;01/07/2017;106400;Autopeças;;;;;;;;;
853650;853650 - Interruptores e seccionadores e comutadores;01/07/2017;106500;Autopeças;;;;;;;;;
853530;853530 - Interruptores e seccionadores e comutadores;01/07/2017;106500;Autopeças;;;;;;;;;
85361000;85361000 - Fusíveis e corta-circuitos de fusíveis;01/07/2017;106600;Autopeças;;;;;;;;;
85362000;85362000 - Disjuntores;01/07/2017;106700;Autopeças;;;;;;;;;
85364;85364 - Relés;01/07/2017;106800;Autopeças;;;;;;;;;
8538;8538 - Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00;01/07/2017;106900;Autopeças;;;;;;;;;
853910;853910 - Faróis e projetores, em unidades seladas;01/07/2017;107000;Autopeças;;;;;;;;;
85392;85392 - Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos;01/07/2017;107100;Autopeças;;;;;;;;;
85442000;85442000 - Cabos coaxiais e outros condutores elétricos coaxiais;01/07/2017;107200;Autopeças;;;;;;;;;
85443000;85443000 - Jogos de fios para velas de ignição e outros jogos de fios;01/07/2017;107300;Autopeças;;;;;;;;;
8707;8707 - Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas;01/07/2017;107400;Autopeças;;;;;;;;;
8708;8708 - Partes e acessórios dos veículos automóveis das posições 8701 a 8705;01/07/2017;107500;Autopeças;;;;;;;;;
87141;87141 - Parte e acessórios de motocicletas (incluídos os ciclomotores);01/07/2017;107600;Autopeças;;;;;;;;;
87169090;87169090 - Engates para reboques e semirreboques;01/07/2017;107700;Autopeças;;;;;;;;;
902610;"902610 - Medidores de nível; Medidores de vazão";01/07/2017;107800;Autopeças;;;;;;;;;
902620;902620 - Aparelhos para medida ou controle da pressão;01/07/2017;107900;Autopeças;;;;;;;;;
9029;9029 - Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios;01/07/2017;108000;Autopeças;;;;;;;;;
90303321;90303321 - Amperímetros;01/07/2017;108100;Autopeças;;;;;;;;;
90318040;90318040 - Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo);01/07/2017;108200;Autopeças;;;;;;;;;
9032892;9032892 - Controladores eletrônicos;01/07/2017;108300;Autopeças;;;;;;;;;
91040000;91040000 - Relógios para painéis de instrumentos e relógios semelhantes;01/07/2017;108400;Autopeças;;;;;;;;;
94019090;94019090 - Assentos e partes de assentos;01/07/2017;108500;Autopeças;;;;;;;;;
94012000;94012000 - Assentos e partes de assentos;01/07/2017;108500;Autopeças;;;;;;;;;
96138000;96138000 - Acendedores;01/07/2017;108600;Autopeças;;;;;;;;;
4009;4009 - Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios;01/07/2017;108700;Autopeças;;;;;;;;;
68129910;68129910 - Juntas de vedação de cortiça natural e de amianto;01/07/2017;108800;Autopeças;;;;;;;;;
45049000;45049000 - Juntas de vedação de cortiça natural e de amianto;01/07/2017;108800;Autopeças;;;;;;;;;
48234000;48234000 - Papel-diagrama para tacógrafo, em disco;01/07/2017;108900;Autopeças;;;;;;;;;
39191010;"39191010 - Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;109000;Autopeças;;;;;;;;;
39191020;"39191020 - Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;109000;Autopeças;;;;;;;;;
39199010;"39199010 - Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;109000;Autopeças;;;;;;;;;
39199020;"39199020 - Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;109000;Autopeças;;;;;;;;;
39199090;"39199090 - Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;109000;Autopeças;;;;;;;;;
87082999;"87082999 - Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;109000;Autopeças;;;;;;;;;
39191090;"39191090 - Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários";01/07/2017;109000;Autopeças;;;;;;;;;
84123110;84123110 - Cilindros pneumáticos;01/07/2017;109100;Autopeças;;;;;;;;;
84138100;84138100 - Bomba elétrica de lavador de para-brisa;01/07/2017;109200;Autopeças;;;;;;;;;
84131900;84131900 - Bomba elétrica de lavador de para-brisa;01/07/2017;109200;Autopeças;;;;;;;;;
84135090;84135090 - Bomba elétrica de lavador de para-brisa;01/07/2017;109200;Autopeças;;;;;;;;;
84136019;84136019 - Bomba de assistência de direção hidráulica;01/07/2017;109300;Autopeças;;;;;;;;;
84137010;84137010 - Bomba de assistência de direção hidráulica;01/07/2017;109300;Autopeças;;;;;;;;;
84145910;84145910 - Motoventiladores;01/07/2017;109400;Autopeças;;;;;;;;;
84145990;84145990 - Motoventiladores;01/07/2017;109400;Autopeças;;;;;;;;;
84213990;84213990 - Filtros de pólen do ar-condicionado;01/07/2017;109500;Autopeças;;;;;;;;;
85011019;85011019 - ìMáquinaî de vidro elétrico de porta;01/07/2017;109600;Autopeças;;;;;;;;;
85013110;85013110 - Motor de limpador de para-brisa;01/07/2017;109700;Autopeças;;;;;;;;;
85045000;85045000 - Bobinas de reatância e de autoindução;01/07/2017;109800;Autopeças;;;;;;;;;
850730;850730 - Baterias de chumbo e de níquel-cádmio;01/07/2017;109900;Autopeças;;;;;;;;;
850720;850720 - Baterias de chumbo e de níquel-cádmio;01/07/2017;109900;Autopeças;;;;;;;;;
85123000;85123000 - Aparelhos de sinalização acústica (buzina);01/07/2017;110000;Autopeças;;;;;;;;;
9032899;9032899 - Instrumentos para regulação de grandezas não elétricas;01/07/2017;110100;Autopeças;;;;;;;;;
9032898;9032898 - Instrumentos para regulação de grandezas não elétricas;01/07/2017;110100;Autopeças;;;;;;;;;
90271000;90271000 - Analisadores de gases ou de fumaça (sonda lambda);01/07/2017;110200;Autopeças;;;;;;;;;
40081100;40081100 - Perfilados de borracha vulcanizada não endurecida;01/07/2017;110300;Autopeças;;;;;;;;;
56012219;56012219 - Artefatos de pasta de fibra de uso automotivo;01/07/2017;110400;Autopeças;;;;;;;;;
57032000;57032000 - Tapetes/carpetes - nailón;01/07/2017;110500;Autopeças;;;;;;;;;
57033000;57033000 - Tapetes de matérias têxteis sintéticas;01/07/2017;110600;Autopeças;;;;;;;;;
59119000;59119000 - Forração interior capacete;01/07/2017;110700;Autopeças;;;;;;;;;
69039099;69039099 - Outros para-brisas;01/07/2017;110800;Autopeças;;;;;;;;;
70072900;70072900 - Moldura com espelho;01/07/2017;110900;Autopeças;;;;;;;;;
73145000;73145000 - Corrente de transmissão;01/07/2017;111000;Autopeças;;;;;;;;;
73151100;73151100 - Corrente transmissão;01/07/2017;111100;Autopeças;;;;;;;;;
73151210;73151210 - Outras correntes de transmissão;01/07/2017;111200;Autopeças;;;;;;;;;
84189900;84189900 - Condensador tubular metálico;01/07/2017;111300;Autopeças;;;;;;;;;
841950;841950 - Trocadores de calor;01/07/2017;111400;Autopeças;;;;;;;;;
84249090;84249090 - Partes de aparelhos mecânicos de pulverizar ou dispersar;01/07/2017;111500;Autopeças;;;;;;;;;
84254910;84254910 - Macacos manuais para veículos;01/07/2017;111600;Autopeças;;;;;;;;;
84314100;84314100 - Caçambas, pás, ganchos e tenazes para máquinas rodoviárias;01/07/2017;111700;Autopeças;;;;;;;;;
85016100;85016100 - Geradores de corrente alternada de potência não superior a 75 kva;01/07/2017;111800;Autopeças;;;;;;;;;
85311090;85311090 - Aparelhos elétricos para alarme de uso automotivo;01/07/2017;111900;Autopeças;;;;;;;;;
90141000;90141000 - Bússolas;01/07/2017;112000;Autopeças;;;;;;;;;
90251990;90251990 - Indicadores de temperatura;01/07/2017;112100;Autopeças;;;;;;;;;
90259010;90259010 - Partes de indicadores de temperatura;01/07/2017;112200;Autopeças;;;;;;;;;
902690;902690 - Partes de aparelhos de medida ou controle;01/07/2017;112300;Autopeças;;;;;;;;;
90321010;90321010 - Termostatos;01/07/2017;112400;Autopeças;;;;;;;;;
90321090;90321090 - Instrumentos e aparelhos para regulação;01/07/2017;112500;Autopeças;;;;;;;;;
90322000;90322000 - Pressostatos;01/07/2017;112600;Autopeças;;;;;;;;;
871690;871690 - Peças para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00;01/07/2017;112700;Autopeças;;;;;;;;;
73229010;73229010 - Geradores de ar quente a combustível líquido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em veículos automóveis;01/07/2017;112800;Autopeças;;;;;;;;;
NT;NT - Outras peças, partes e acessórios para veículos automotores não relacionados nos demais itens deste anexo;01/07/2017;199900;Autopeças;;;;;;;;;
2205;2205 - Aperitivos, amargos, bitter e similares;01/07/2017;200100;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Aperitivos, amargos, bitter e similares;01/07/2017;200100;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Batida e similares;01/07/2017;200200;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Bebida ice;01/07/2017;200300;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22084000;22084000 - Cachaça e aguardentes;01/07/2017;200400;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
220720;220720 - Cachaça e aguardentes;01/07/2017;200400;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22060090;22060090 - Catuaba e similares;01/07/2017;200500;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Catuaba e similares;01/07/2017;200500;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2205;2205 - Catuaba e similares;01/07/2017;200500;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22082000;22082000 - Conhaque, brandy e similares;01/07/2017;200600;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22060090;22060090 - Cooler;01/07/2017;200700;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Cooler;01/07/2017;200700;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22085000;22085000 - Gim (gin) e genebra;01/07/2017;200800;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2205;2205 - Jurubeba e similares;01/07/2017;200900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22060090;22060090 - Jurubeba e similares;01/07/2017;200900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Jurubeba e similares;01/07/2017;200900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22087000;22087000 - Licores e similares;01/07/2017;201000;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22082000;22082000 - Pisco;01/07/2017;201100;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22084000;22084000 - Rum;01/07/2017;201200;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22060090;22060090 - Saquê;01/07/2017;201300;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Steinhaeger;01/07/2017;201400;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Tequila;01/07/2017;201500;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
220830;220830 - Uísque;01/07/2017;201600;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2205;2205 - Vermute e similares;01/07/2017;201700;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22086000;22086000 - Vodka;01/07/2017;201800;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Derivados de vodka;01/07/2017;201900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Arak;01/07/2017;202000;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22082000;22082000 - Aguardente vínica / grappa;01/07/2017;202100;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22060010;22060010 - Sidra e similares;01/07/2017;202200;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22060090;22060090 - Sangrias e coquetéis;01/07/2017;202300;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22089000;22089000 - Sangrias e coquetéis;01/07/2017;202300;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2205;2205 - Sangrias e coquetéis;01/07/2017;202300;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2204;"2204 - Vinhos de uvas frescas, incluindo os vinhos enriquecidos com álcool; mostos de uvas.";01/07/2017;202400;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2206;2206 - Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;299900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2208;2208 - Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;299900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2205;2205 - Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;299900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
2207;2207 - Outras bebidas alcoólicas não especificadas nos itens anteriores;01/07/2017;299900;Bebidas alcoólicas, exceto cerveja e chope;;;;;;;;;
22011000;22011000 - Água mineral, gasosa ou não, ou potável, naturais, em garrafa de vidro, retornável ou não, com capacidade de até 500 ml;01/07/2017;300100;Cervejas, chopes, refrigerantes, águas e outras bebidas;;;;;;;;;
22011000;"22011000 - Água mineral, gasosa ou não, ou potável, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no CEST 03.024.00 e 03.025.00";01/07/2017;300200;Cervejas, chopes, refrigerantes, águas e outras bebidas;;;;;;;;;
22011000;22011000 - Água mineral, gasosa ou não, ou potável, naturais, em embalagem de vidro, não retornável, com capacidade de até 300 ml;01/07/2017;300300;Cervejas, chopes, refrigerantes, águas e outras bebidas;;;;;;;;;
22011000;22011000 - Água mineral, gasosa ou não, ou potável, naturais, em garrafa plástica de 1.500 ml;01/07/2017;300400;Cervejas, chopes, refrigerantes, águas e outras bebidas;;;;;;;;;
22011000;22011000 - Água mineral, gasosa ou não, ou potável, naturais, em copos plásticos e embalagem plástica com capacidade de até 500 ml;01/07/2017;300500;Cervejas, chopes, refrigerantes, águas e outras bebidas;;;;;;;;;
22011000;"22011000 - Outras águas minerais, potáveis ou naturais, gasosas ou não, inclusive gaseificadas; exceto as classificadas no CEST 03.024.00 e 03.025.00";01/07/2017;300600;Cervejas, chopes, refrigerantes, águas e outras bebidas;;;;;;;;;
