TABELA CEST 2018;;;;
BUSCA AUTOMµTICA:;;;;
NCM;DESCRI€ÇO;In¡cio de vigˆncia;CEST;SEGMENTO
8482;8482 - Rolamentos;01/07/2017;0104900;Autope‡as
8483;"8483 - µrvores de transmissÆo (inclu¡das as  rvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fric‡Æo; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissÆo e variadores de velocidade, inclu¡dos os conversores de torque; volantes e polias, inclu¡das as polias para cadernais; embreagens e dispositivos de acoplamento, inclu¡das as juntas de articula‡Æo";01/07/2017;0105000;Autope‡as
8484;"8484 - Juntas metalopl sticas; jogos ou sortidos de juntas de composi‡äes diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de veda‡Æo mecƒnicas (selos mecƒnicos)";01/07/2017;0105100;Autope‡as
850520;850520 - Acoplamentos, embreagens, variadores de velocidade e freios, eletromagn‚ticos;01/07/2017;0105200;Autope‡as
850710;850710 - Acumuladores el‚tricos de chumbo, do tipo utilizado para o arranque dos motores de pistÆo, exceto os classificados no CEST 01.053.01;01/07/2017;0105300;Autope‡as
85071010;85071010 - Acumuladores el‚tricos de chumbo, do tipo utilizado para o arranque dos motores de pistÆo e de capacidade inferior ou igual a 20 Ah e tensÆo inferior ou igual a 12 V;01/07/2017;0105301;Autope‡as
8511;"8511 - Aparelhos e dispositivos el‚tricos de igni‡Æo ou de arranque para motores de igni‡Æo por centelha ou por compressÆo (por exemplo, magnetos, d¡namos-magnetos, bobinas de igni‡Æo, velas de igni‡Æo ou de aquecimento, motores de arranque); geradores (d¡namos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores";01/07/2017;0105400;Autope‡as
851240;851240 - Aparelhos el‚tricos de ilumina‡Æo ou de sinaliza‡Æo (exceto os da posi‡Æo 8539), limpadores de para-brisas, degeladores e desemba‡adores (desembaciadores) el‚tricos e suas partes;01/07/2017;0105500;Autope‡as
851220;851220 - Aparelhos el‚tricos de ilumina‡Æo ou de sinaliza‡Æo (exceto os da posi‡Æo 8539), limpadores de para-brisas, degeladores e desemba‡adores (desembaciadores) el‚tricos e suas partes;01/07/2017;0105500;Autope‡as
85129000;85129000 - Aparelhos el‚tricos de ilumina‡Æo ou de sinaliza‡Æo (exceto os da posi‡Æo 8539), limpadores de para-brisas, degeladores e desemba‡adores (desembaciadores) el‚tricos e suas partes;01/07/2017;0105500;Autope‡as
85171213;85171213 - Telefones m¢veis do tipo dos utilizados em ve¡culos autom¢veis.;01/07/2017;0105600;Autope‡as
8518;8518 - Alto-falantes, amplificadores el‚tricos de audiofrequˆncia e partes;01/07/2017;0105700;Autope‡as
85185000;85185000 - Aparelhos el‚tricos de amplifica‡Æo de som para ve¡culos automotores;01/07/2017;0105800;Autope‡as
851981;851981 - Aparelhos de reprodu‡Æo de som;01/07/2017;0105900;Autope‡as
8525501;8525501 - Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (r dio receptor/transmissor);01/07/2017;0106000;Autope‡as
85256010;85256010 - Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (r dio receptor/transmissor);01/07/2017;0106000;Autope‡as
85272100;85272100 - Aparelhos receptores de radiodifusÆo que s¢ funcionem com fonte externa de energia combinados com um aparelho de grava‡Æo ou de reprodu‡Æo de som, do tipo utilizado em ve¡culos autom¢veis;01/07/2017;0106100;Autope‡as
85272900;85272900 - Outros aparelhos receptores de radiodifusÆo que s¢ funcionem com fonte externa de energia, do tipo utilizado em ve¡culos autom¢veis;01/07/2017;0106200;Autope‡as
85219090;85219090 - Outros aparelhos videof“nicos de grava‡Æo ou de reprodu‡Æo, mesmo incorporando um receptor de sinais videof“nicos, dos tipos utilizados exclusivamente em ve¡culos automotores;01/07/2017;0106201;Autope‡as
85291090;85291090 - Antenas;01/07/2017;0106300;Autope‡as
853400;853400 - Circuitos impressos;01/07/2017;0106400;Autope‡as
853650;853650 - Interruptores e seccionadores e comutadores;01/07/2017;0106500;Autope‡as
853530;853530 - Interruptores e seccionadores e comutadores;01/07/2017;0106500;Autope‡as
85361000;85361000 - Fus¡veis e corta-circuitos de fus¡veis;01/07/2017;0106600;Autope‡as
85362000;85362000 - Disjuntores;01/07/2017;0106700;Autope‡as
85364;85364 - Rel‚s;01/07/2017;0106800;Autope‡as
8538;8538 - Partes reconhec¡veis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00;01/07/2017;0106900;Autope‡as
853910;853910 - Far¢is e projetores, em unidades seladas;01/07/2017;0107000;Autope‡as
85392;85392 - Lƒmpadas e tubos de incandescˆncia, exceto de raios ultravioleta ou infravermelhos;01/07/2017;0107100;Autope‡as
85442000;85442000 - Cabos coaxiais e outros condutores el‚tricos coaxiais;01/07/2017;0107200;Autope‡as
85443000;85443000 - Jogos de fios para velas de igni‡Æo e outros jogos de fios;01/07/2017;0107300;Autope‡as
8707;8707 - Carro‡arias para os ve¡culos autom¢veis das posi‡äes 8701 a 8705, inclu¡das as cabinas;01/07/2017;0107400;Autope‡as
8708;8708 - Partes e acess¢rios dos ve¡culos autom¢veis das posi‡äes 8701 a 8705;01/07/2017;0107500;Autope‡as
87141;87141 - Parte e acess¢rios de motocicletas (inclu¡dos os ciclomotores);01/07/2017;0107600;Autope‡as
87169090;87169090 - Engates para reboques e semirreboques;01/07/2017;0107700;Autope‡as
902610;"902610 - Medidores de n¡vel; Medidores de vazÆo";01/07/2017;0107800;Autope‡as
902620;902620 - Aparelhos para medida ou controle da pressÆo;01/07/2017;0107900;Autope‡as
9029;9029 - Contadores, indicadores de velocidade e tac“metros, suas partes e acess¢rios;01/07/2017;0108000;Autope‡as
90303321;90303321 - Amper¡metros;01/07/2017;0108100;Autope‡as
90318040;90318040 - Aparelhos digitais, de uso em ve¡culos autom¢veis, para medida e indica‡Æo de m£ltiplas grandezas tais como: velocidade m‚dia, consumos instantƒneo e m‚dio e autonomia (computador de bordo);01/07/2017;0108200;Autope‡as
9032892;9032892 - Controladores eletr“nicos;01/07/2017;0108300;Autope‡as
91040000;91040000 - Rel¢gios para pain‚is de instrumentos e rel¢gios semelhantes;01/07/2017;0108400;Autope‡as
94019090;94019090 - Assentos e partes de assentos;01/07/2017;0108500;Autope‡as
94012000;94012000 - Assentos e partes de assentos;01/07/2017;0108500;Autope‡as
96138000;96138000 - Acendedores;01/07/2017;0108600;Autope‡as
4009;4009 - Tubos de borracha vulcanizada nÆo endurecida, mesmo providos de seus acess¢rios;01/07/2017;0108700;Autope‡as
68129910;68129910 - Juntas de veda‡Æo de corti‡a natural e de amianto;01/07/2017;0108800;Autope‡as
45049000;45049000 - Juntas de veda‡Æo de corti‡a natural e de amianto;01/07/2017;0108800;Autope‡as
48234000;48234000 - Papel-diagrama para tac¢grafo, em disco;01/07/2017;0108900;Autope‡as
39191010;"39191010 - Fitas, tiras, adesivos, autocolantes, de pl stico, refletores, mesmo em rolos; placas met licas com pel¡cula de pl stico refletora, pr¢prias para coloca‡Æo em carrocerias, para-choques de ve¡culos de carga, motocicletas, ciclomotores, capacetes, bon‚s de agentes de trƒnsito e de condutores de ve¡culos, atuando como dispositivos refletivos de seguran‡a rodovi rios";01/07/2017;0109000;Autope‡as
39191020;"39191020 - Fitas, tiras, adesivos, autocolantes, de pl stico, refletores, mesmo em rolos; placas met licas com pel¡cula de pl stico refletora, pr¢prias para coloca‡Æo em carrocerias, para-choques de ve¡culos de carga, motocicletas, ciclomotores, capacetes, bon‚s de agentes de trƒnsito e de condutores de ve¡culos, atuando como dispositivos refletivos de seguran‡a rodovi rios";01/07/2017;0109000;Autope‡as
39199010;"39199010 - Fitas, tiras, adesivos, autocolantes, de pl stico, refletores, mesmo em rolos; placas met licas com pel¡cula de pl stico refletora, pr¢prias para coloca‡Æo em carrocerias, para-choques de ve¡culos de carga, motocicletas, ciclomotores, capacetes, bon‚s de agentes de trƒnsito e de condutores de ve¡culos, atuando como dispositivos refletivos de seguran‡a rodovi rios";01/07/2017;0109000;Autope‡as
39199020;"39199020 - Fitas, tiras, adesivos, autocolantes, de pl stico, refletores, mesmo em rolos; placas met licas com pel¡cula de pl stico refletora, pr¢prias para coloca‡Æo em carrocerias, para-choques de ve¡culos de carga, motocicletas, ciclomotores, capacetes, bon‚s de agentes de trƒnsito e de condutores de ve¡culos, atuando como dispositivos refletivos de seguran‡a rodovi rios";01/07/2017;0109000;Autope‡as
39199090;"39199090 - Fitas, tiras, adesivos, autocolantes, de pl stico, refletores, mesmo em rolos; placas met licas com pel¡cula de pl stico refletora, pr¢prias para coloca‡Æo em carrocerias, para-choques de ve¡culos de carga, motocicletas, ciclomotores, capacetes, bon‚s de agentes de trƒnsito e de condutores de ve¡culos, atuando como dispositivos refletivos de seguran‡a rodovi rios";01/07/2017;0109000;Autope‡as
87082999;"87082999 - Fitas, tiras, adesivos, autocolantes, de pl stico, refletores, mesmo em rolos; placas met licas com pel¡cula de pl stico refletora, pr¢prias para coloca‡Æo em carrocerias, para-choques de ve¡culos de carga, motocicletas, ciclomotores, capacetes, bon‚s de agentes de trƒnsito e de condutores de ve¡culos, atuando como dispositivos refletivos de seguran‡a rodovi rios";01/07/2017;0109000;Autope‡as
39191090;"39191090 - Fitas, tiras, adesivos, autocolantes, de pl stico, refletores, mesmo em rolos; placas met licas com pel¡cula de pl stico refletora, pr¢prias para coloca‡Æo em carrocerias, para-choques de ve¡culos de carga, motocicletas, ciclomotores, capacetes, bon‚s de agentes de trƒnsito e de condutores de ve¡culos, atuando como dispositivos refletivos de seguran‡a rodovi rios";01/07/2017;0109000;Autope‡as
84123110;84123110 - Cilindros pneum ticos;01/07/2017;0109100;Autope‡as
84138100;84138100 - Bomba el‚trica de lavador de para-brisa;01/07/2017;0109200;Autope‡as
84131900;84131900 - Bomba el‚trica de lavador de para-brisa;01/07/2017;0109200;Autope‡as
84135090;84135090 - Bomba el‚trica de lavador de para-brisa;01/07/2017;0109200;Autope‡as
84136019;84136019 - Bomba de assistˆncia de dire‡Æo hidr ulica;01/07/2017;0109300;Autope‡as
84137010;84137010 - Bomba de assistˆncia de dire‡Æo hidr ulica;01/07/2017;0109300;Autope‡as
84145910;84145910 - Motoventiladores;01/07/2017;0109400;Autope‡as
84145990;84145990 - Motoventiladores;01/07/2017;0109400;Autope‡as
84213990;84213990 - Filtros de p¢len do ar-condicionado;01/07/2017;0109500;Autope‡as
85011019;85011019 - “M quina” de vidro el‚trico de porta;01/07/2017;0109600;Autope‡as
85013110;85013110 - Motor de limpador de para-brisa;01/07/2017;0109700;Autope‡as
85045000;85045000 - Bobinas de reatƒncia e de autoindu‡Æo;01/07/2017;0109800;Autope‡as
850730;850730 - Baterias de chumbo e de n¡quel-c dmio;01/07/2017;0109900;Autope‡as
850720;850720 - Baterias de chumbo e de n¡quel-c dmio;01/07/2017;0109900;Autope‡as
85123000;85123000 - Aparelhos de sinaliza‡Æo ac£stica (buzina);01/07/2017;0110000;Autope‡as
9032899;9032899 - Instrumentos para regula‡Æo de grandezas nÆo el‚tricas;01/07/2017;0110100;Autope‡as
9032898;9032898 - Instrumentos para regula‡Æo de grandezas nÆo el‚tricas;01/07/2017;0110100;Autope‡as
90271000;90271000 - Analisadores de gases ou de fuma‡a (sonda lambda);01/07/2017;0110200;Autope‡as
40081100;40081100 - Perfilados de borracha vulcanizada nÆo endurecida;01/07/2017;0110300;Autope‡as
56012219;56012219 - Artefatos de pasta de fibra de uso automotivo;01/07/2017;0110400;Autope‡as
57032000;57032000 - Tapetes/carpetes - nail¢n;01/07/2017;0110500;Autope‡as
57033000;57033000 - Tapetes de mat‚rias tˆxteis sint‚ticas;01/07/2017;0110600;Autope‡as
59119000;59119000 - Forra‡Æo interior capacete;01/07/2017;0110700;Autope‡as
69039099;69039099 - Outros para-brisas;01/07/2017;0110800;Autope‡as
70072900;70072900 - Moldura com espelho;01/07/2017;0110900;Autope‡as
73145000;73145000 - Corrente de transmissÆo;01/07/2017;0111000;Autope‡as
73151100;73151100 - Corrente transmissÆo;01/07/2017;0111100;Autope‡as
73151210;73151210 - Outras correntes de transmissÆo;01/07/2017;0111200;Autope‡as
84189900;84189900 - Condensador tubular met lico;01/07/2017;0111300;Autope‡as
841950;841950 - Trocadores de calor;01/07/2017;0111400;Autope‡as
84249090;84249090 - Partes de aparelhos mecƒnicos de pulverizar ou dispersar;01/07/2017;0111500;Autope‡as
84254910;84254910 - Macacos manuais para ve¡culos;01/07/2017;0111600;Autope‡as
84314100;84314100 - Ca‡ambas, p s, ganchos e tenazes para m quinas rodovi rias;01/07/2017;0111700;Autope‡as
85016100;85016100 - Geradores de corrente alternada de potˆncia nÆo superior a 75 kva;01/07/2017;0111800;Autope‡as
85311090;85311090 - Aparelhos el‚tricos para alarme de uso automotivo;01/07/2017;0111900;Autope‡as
90141000;90141000 - B£ssolas;01/07/2017;0112000;Autope‡as
90251990;90251990 - Indicadores de temperatura;01/07/2017;0112100;Autope‡as
90259010;90259010 - Partes de indicadores de temperatura;01/07/2017;0112200;Autope‡as
902690;902690 - Partes de aparelhos de medida ou controle;01/07/2017;0112300;Autope‡as
90321010;90321010 - Termostatos;01/07/2017;0112400;Autope‡as
90321090;90321090 - Instrumentos e aparelhos para regula‡Æo;01/07/2017;0112500;Autope‡as
90322000;90322000 - Pressostatos;01/07/2017;0112600;Autope‡as
871690;871690 - Pe‡as para reboques e semirreboques, exceto os itens classificados no CEST 01.077.00;01/07/2017;0112700;Autope‡as
73229010;73229010 - Geradores de ar quente a combust¡vel l¡quido, com capacidade superior ou igual a 1.500 kcal/h, mas inferior ou igual a 10.400 kcal/h, do tipo dos utilizados em ve¡culos autom¢veis;01/07/2017;0112800;Autope‡as
NT;NT - Outras pe‡as, partes e acess¢rios para ve¡culos automotores nÆo relacionados nos demais itens deste anexo;01/07/2017;0199900;Autope‡as
2205;2205 - Aperitivos, amargos, bitter e similares;01/07/2017;0200100;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Aperitivos, amargos, bitter e similares;01/07/2017;0200100;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Batida e similares;01/07/2017;0200200;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Bebida ice;01/07/2017;0200300;Bebidas alco¢licas, exceto cerveja e chope
22084000;22084000 - Cacha‡a e aguardentes;01/07/2017;0200400;Bebidas alco¢licas, exceto cerveja e chope
220720;220720 - Cacha‡a e aguardentes;01/07/2017;0200400;Bebidas alco¢licas, exceto cerveja e chope
22060090;22060090 - Catuaba e similares;01/07/2017;0200500;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Catuaba e similares;01/07/2017;0200500;Bebidas alco¢licas, exceto cerveja e chope
2205;2205 - Catuaba e similares;01/07/2017;0200500;Bebidas alco¢licas, exceto cerveja e chope
22082000;22082000 - Conhaque, brandy e similares;01/07/2017;0200600;Bebidas alco¢licas, exceto cerveja e chope
22060090;22060090 - Cooler;01/07/2017;0200700;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Cooler;01/07/2017;0200700;Bebidas alco¢licas, exceto cerveja e chope
22085000;22085000 - Gim (gin) e genebra;01/07/2017;0200800;Bebidas alco¢licas, exceto cerveja e chope
2205;2205 - Jurubeba e similares;01/07/2017;0200900;Bebidas alco¢licas, exceto cerveja e chope
22060090;22060090 - Jurubeba e similares;01/07/2017;0200900;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Jurubeba e similares;01/07/2017;0200900;Bebidas alco¢licas, exceto cerveja e chope
22087000;22087000 - Licores e similares;01/07/2017;0201000;Bebidas alco¢licas, exceto cerveja e chope
22082000;22082000 - Pisco;01/07/2017;0201100;Bebidas alco¢licas, exceto cerveja e chope
22084000;22084000 - Rum;01/07/2017;0201200;Bebidas alco¢licas, exceto cerveja e chope
22060090;22060090 - Saquˆ;01/07/2017;0201300;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Steinhaeger;01/07/2017;0201400;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Tequila;01/07/2017;0201500;Bebidas alco¢licas, exceto cerveja e chope
220830;220830 - U¡sque;01/07/2017;0201600;Bebidas alco¢licas, exceto cerveja e chope
2205;2205 - Vermute e similares;01/07/2017;0201700;Bebidas alco¢licas, exceto cerveja e chope
22086000;22086000 - Vodka;01/07/2017;0201800;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Derivados de vodka;01/07/2017;0201900;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Arak;01/07/2017;0202000;Bebidas alco¢licas, exceto cerveja e chope
22082000;22082000 - Aguardente v¡nica / grappa;01/07/2017;0202100;Bebidas alco¢licas, exceto cerveja e chope
22060010;22060010 - Sidra e similares;01/07/2017;0202200;Bebidas alco¢licas, exceto cerveja e chope
22060090;22060090 - Sangrias e coquet‚is;01/07/2017;0202300;Bebidas alco¢licas, exceto cerveja e chope
22089000;22089000 - Sangrias e coquet‚is;01/07/2017;0202300;Bebidas alco¢licas, exceto cerveja e chope
2205;2205 - Sangrias e coquet‚is;01/07/2017;0202300;Bebidas alco¢licas, exceto cerveja e chope
2204;"2204 - Vinhos de uvas frescas, incluindo os vinhos enriquecidos com  lcool; mostos de uvas.";01/07/2017;0202400;Bebidas alco¢licas, exceto cerveja e chope
2206;2206 - Outras bebidas alco¢licas nÆo especificadas nos itens anteriores;01/07/2017;0299900;Bebidas alco¢licas, exceto cerveja e chope
2208;2208 - Outras bebidas alco¢licas nÆo especificadas nos itens anteriores;01/07/2017;0299900;Bebidas alco¢licas, exceto cerveja e chope
2205;2205 - Outras bebidas alco¢licas nÆo especificadas nos itens anteriores;01/07/2017;0299900;Bebidas alco¢licas, exceto cerveja e chope
2207;2207 - Outras bebidas alco¢licas nÆo especificadas nos itens anteriores;01/07/2017;0299900;Bebidas alco¢licas, exceto cerveja e chope
22011000;22011000 - µgua mineral, gasosa ou nÆo, ou pot vel, naturais, em garrafa de vidro, retorn vel ou nÆo, com capacidade de at‚ 500 ml;01/07/2017;0300100;Cervejas, chopes, refrigerantes,  guas e outras bebidas
22011000;"22011000 - µgua mineral, gasosa ou nÆo, ou pot vel, naturais, em embalagem com capacidade igual ou superior a 5.000 ml; exceto as classificadas no CEST 03.024.00 e 03.025.00";01/07/2017;0300200;Cervejas, chopes, refrigerantes,  guas e outras bebidas
22011000;22011000 - µgua mineral, gasosa ou nÆo, ou pot vel, naturais, em embalagem de vidro, nÆo retorn vel, com capacidade de at‚ 300 ml;01/07/2017;0300300;Cervejas, chopes, refrigerantes,  guas e outras bebidas
22011000;22011000 - µgua mineral, gasosa ou nÆo, ou pot vel, naturais, em garrafa pl stica de 1.500 ml;01/07/2017;0300400;Cervejas, chopes, refrigerantes,  guas e outras bebidas
22011000;22011000 - µgua mineral, gasosa ou nÆo, ou pot vel, naturais, em copos pl sticos e embalagem pl stica com capacidade de at‚ 500 ml;01/07/2017;0300500;Cervejas, chopes, refrigerantes,  guas e outras bebidas
22011000;"22011000 - Outras  guas minerais, pot veis ou naturais, gasosas ou nÆo, inclusive gaseificadas; exceto as classificadas no CEST 03.024.00 e 03.025.00";01/07/2017;0300600;Cervejas, chopes, refrigerantes,  guas e outras bebidas
22021000;22021000 - µguas minerais, pot veis ou naturais, gasosas ou nÆo, inclusive gaseificadas ou aromatizadas artificialmente, exceto os refrescos e refrigerantes;01/07/2017;0300700;Cervejas, chopes, refrigerantes,  guas e outras bebidas
22029900;22029900 - Outras  guas minerais, pot veis ou naturais, gasosas ou nÆo, inclusive gaseificadas ou aromatizadas artificialmente;01/07/2017;0300800;Cervejas, chopes, refrigerantes,  guas e outras bebidas
2202;2202 - Refrigerantes em garrafa com capacidade igual ou superior a 600 ml, exceto os classificados no CEST 03.011.01;01/07/2017;0301000;Cervejas, chopes, refrigerantes,  guas e outras bebidas
2202;2202 - Demais refrigerantes, exceto os classificados no CEST 03.010.00 e 03.011.01;01/07/2017;0301100;Cervejas, chopes, refrigerantes,  guas e outras bebidas
2202;2202 - Espumantes sem  lcool;01/07/2017;0301101;Cervejas, chopes, refrigerantes,  guas e outras bebidas
21069010;21069010 - Xarope ou extrato concentrado destinados ao preparo de refrigerante em m quina “pr‚-mix” ou “post-mix”;01/07/2017;0301200;Cervejas, chopes, refrigerantes,  guas e outras bebidas
